
0.00498208, 0.995001, 1.98918, 0.222939, -0.00438433, -0.000297959, 0.0985663, -0.203701, -0.432698, 1.83511, -0.35075, -0.0238409, 

0.00973797, 0.979048, 1.95712, 0.250585, -0.0114921, -0.000539744, 0.0905073, -0.438945, -0.84982, 0.376578, -0.217877, 0.00449405, 

0.0139422, 0.950933, 1.90415, 0.24669, -0.015647, -0.000174629, 0.0769844, -0.685035, -1.26884, -0.688212, -0.114516, 0.0247111, 

0.0173884, 0.910809, 1.83022, 0.22036, -0.0175017, 0.00061016, 0.0605601, -0.915614, -1.68836, -1.41819, -0.0338692, 0.0380679, 

0.0199828, 0.85993, 1.7353, 0.180817, -0.0177225, 0.00162632, 0.0431802, -1.11306, -2.10854, -1.7452, 0.0162002, 0.0432209, 

0.0217126, 0.8002, 1.61936, 0.137129, -0.0168166, 0.00267882, 0.0261568, -1.26902, -2.52885, -1.74989, 0.0562671, 0.0409749, 

0.0226201, 0.733746, 1.48244, 0.0926709, -0.0152514, 0.00371546, 0.0104015, -1.38185, -2.94821, -1.80672, 0.068945, 0.0419522, 

0.0227812, 0.66275, 1.32453, 0.0474009, -0.0132962, 0.00475726, -0.00363898, -1.45058, -3.36825, -1.81487, 0.0874713, 0.0413878, 

0.0222917, 0.589427, 1.14643, 0.00271901, -0.0109576, 0.00543423, -0.0155603, -1.47505, -3.75557, -1.75968, 0.0996141, 0.0127658, 

0.0212654, 0.515955, 0.961026, -0.0380077, -0.00844367, 0.00552876, -0.0250804, -1.4572, -3.66061, -1.49846, 0.101499, -0.00520243, 

0.0198247, 0.444317, 0.786835, -0.0716409, -0.00597433, 0.0052864, -0.0321413, -1.4028, -3.30704, -1.1922, 0.0960518, -0.0141829, 

0.0180903, 0.376162, 0.631896, -0.0976104, -0.00369019, 0.00484859, -0.0368626, -1.31915, -2.89053, -0.885367, 0.0866834, -0.0208381, 

0.0161738, 0.312765, 0.497786, -0.116112, -0.00167579, 0.00425094, -0.0394696, -1.21373, -2.47385, -0.594742, 0.0744726, -0.0269699, 

0.0141737, 0.255034, 0.384513, -0.127617, 1.88511e-05, 0.00350482, -0.040255, -1.09363, -2.05708, -0.325642, 0.0611023, -0.0327154, 

0.0121733, 0.203536, 0.292088, -0.132701, 0.00140268, 0.00262082, -0.0395342, -0.965442, -1.63991, -0.0811017, 0.049608, -0.0380009, 

0.0102404, 0.158525, 0.219206, -0.132237, 0.00245714, 0.00179962, -0.0376106, -0.835082, -1.2754, 0.118197, 0.0347525, -0.0276911, 

0.00842667, 0.119982, 0.162838, -0.127359, 0.00318577, 0.00120322, -0.0348198, -0.707436, -0.9793, 0.272042, 0.0235403, -0.020018, 

